repo	status	returncode	seconds	outdir	stdout_tail	stderr_tail
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Akzestia__tree-sitter-cql	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/Akzestia__tree-sitter-cql-20260707-065444	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Akzestia__tree-sitter-cql | out:  /tmp/codex-code-intel/codegraphcontext/Akzestia__tree-sitter-cql-20260707-065444 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__android-tree-sitter	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__android-tree-sitter-20260707-065529	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__android-tree-sitter | out:  /tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__android-tree-sitter-20260707-065529 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__tree-sitter-aidl	complete	0	29.6	/tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__tree-sitter-aidl-20260707-065614	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__tree-sitter-aidl | out:  /tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__tree-sitter-aidl-20260707-065614 | removed first-time repo artifact: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__tree-sitter-aidl/.cgcignore | verified: indexed query outputs do not mention gitrefrepo/ | CodeGraphContext smoke complete | /tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__tree-sitter-aidl-20260707-065614 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__tree-sitter-log	complete	0	6.3	/tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__tree-sitter-log-20260707-065644	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__tree-sitter-log | out:  /tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__tree-sitter-log-20260707-065644 | removed first-time repo artifact: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__tree-sitter-log/.cgcignore | verified: indexed query outputs do not mention gitrefrepo/ | CodeGraphContext smoke complete | /tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__tree-sitter-log-20260707-065644 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__tree-sitter-properties	complete	0	6.1	/tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__tree-sitter-properties-20260707-065650	g with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__tree-sitter-properties | out:  /tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__tree-sitter-properties-20260707-065650 | removed first-time repo artifact: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__tree-sitter-properties/.cgcignore | verified: indexed query outputs do not mention gitrefrepo/ | CodeGraphContext smoke complete | /tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__tree-sitter-properties-20260707-065650 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__tree-sitter-xml	complete	0	10.9	/tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__tree-sitter-xml-20260707-065656	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__tree-sitter-xml | out:  /tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__tree-sitter-xml-20260707-065656 | removed first-time repo artifact: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndroidIDEOfficial__tree-sitter-xml/.cgcignore | verified: indexed query outputs do not mention gitrefrepo/ | CodeGraphContext smoke complete | /tmp/codex-code-intel/codegraphcontext/AndroidIDEOfficial__tree-sitter-xml-20260707-065656 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndyInternet__indexer	failed	1	18.0	/tmp/codex-code-intel/codegraphcontext/AndyInternet__indexer-20260707-065707	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AndyInternet__indexer | out:  /tmp/codex-code-intel/codegraphcontext/AndyInternet__indexer-20260707-065707 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Anirudh-030307__CHATBOT	complete	0	14.9	/tmp/codex-code-intel/codegraphcontext/Anirudh-030307__CHATBOT-20260707-065725	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Anirudh-030307__CHATBOT | out:  /tmp/codex-code-intel/codegraphcontext/Anirudh-030307__CHATBOT-20260707-065725 | removed first-time repo artifact: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Anirudh-030307__CHATBOT/.cgcignore | verified: indexed query outputs do not mention gitrefrepo/ | CodeGraphContext smoke complete | /tmp/codex-code-intel/codegraphcontext/Anirudh-030307__CHATBOT-20260707-065725 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AperturePlus__augmented-codebase-indexer	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/AperturePlus__augmented-codebase-indexer-20260707-065740	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AperturePlus__augmented-codebase-indexer | out:  /tmp/codex-code-intel/codegraphcontext/AperturePlus__augmented-codebase-indexer-20260707-065740 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Artemarius__Engram	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/Artemarius__Engram-20260707-065825	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Artemarius__Engram | out:  /tmp/codex-code-intel/codegraphcontext/Artemarius__Engram-20260707-065825 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aryan0628__diff-guardian	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/Aryan0628__diff-guardian-20260707-065910	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aryan0628__diff-guardian | out:  /tmp/codex-code-intel/codegraphcontext/Aryan0628__diff-guardian-20260707-065910 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aryan0628__diffguardian	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/Aryan0628__diffguardian-20260707-065955	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aryan0628__diffguardian | out:  /tmp/codex-code-intel/codegraphcontext/Aryan0628__diffguardian-20260707-065955 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aryan1643__swe-agent	complete	0	20.3	/tmp/codex-code-intel/codegraphcontext/Aryan1643__swe-agent-20260707-070040	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aryan1643__swe-agent | out:  /tmp/codex-code-intel/codegraphcontext/Aryan1643__swe-agent-20260707-070040 | removed first-time repo artifact: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aryan1643__swe-agent/.cgcignore | verified: indexed query outputs do not mention gitrefrepo/ | CodeGraphContext smoke complete | /tmp/codex-code-intel/codegraphcontext/Aryan1643__swe-agent-20260707-070040 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AryanSaini26__CodeAtlas	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/AryanSaini26__CodeAtlas-20260707-070100	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AryanSaini26__CodeAtlas | out:  /tmp/codex-code-intel/codegraphcontext/AryanSaini26__CodeAtlas-20260707-070100 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Ataraxy-Labs__sem	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/Ataraxy-Labs__sem-20260707-070145	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Ataraxy-Labs__sem | out:  /tmp/codex-code-intel/codegraphcontext/Ataraxy-Labs__sem-20260707-070145 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Ataraxy-Labs__weave	timeout_45s	timeout	45.0	/tmp/codex-code-intel/codegraphcontext/Ataraxy-Labs__weave-20260707-075553	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Ataraxy-Labs__weave | out:  /tmp/codex-code-intel/codegraphcontext/Ataraxy-Labs__weave-20260707-075553 | 	
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Benjamin-Davies__tree-sitter-relview	complete	0	38.5	/tmp/codex-code-intel/codegraphcontext/Benjamin-Davies__tree-sitter-relview-20260707-075638	Indexing with CodeGraphContext | repo: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Benjamin-Davies__tree-sitter-relview | out:  /tmp/codex-code-intel/codegraphcontext/Benjamin-Davies__tree-sitter-relview-20260707-075638 | removed first-time repo artifact: /Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Benjamin-Davies__tree-sitter-relview/.cgcignore | verified: indexed query outputs do not mention gitrefrepo/ | CodeGraphContext smoke complete | /tmp/codex-code-intel/codegraphcontext/Benjamin-Davies__tree-sitter-relview-20260707-075638 | 	
