repo	status	feature_file_count	tree_sitter_names	grammar_files	query_api	parser_api	indexing	testing
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Cranot__roam-code	ok	14	0	0	0	0	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Crysthamus__tree-sitter-sln	ok	12	1	4	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/DNSZLSK__lexluthor	ok	8	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Dav1dde__PepegSitter	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/DeepSourceCorp__globstar	ok	3	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/DerekStride__tree-sitter-math	ok	5	1	2	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/DerekStride__tree-sitter-sql	ok	9	1	2	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/DeusData__codebase-memory-mcp	ok	15	1	2	0	0	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Durafen__Claude-code-memory	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/EarthChen__knowledge-base-service	ok	4	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/EdgarOrtegaRamirez__codemetrics	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Egonex-AI__Understand-Anything	ok	9	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/EmranMR__tree-sitter-blade	ok	10	1	4	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Enter-tainer__cxx2flow	ok	3	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/EvgeniyPeshkov__syntax-highlighter	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/FaizaanAlFaisal__code-search	ok	1	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Flakebi__tree-sitter-llvm-mir	ok	8	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Flakebi__tree-sitter-tablegen	ok	8	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/FlorentRevest__tree-sitter-syzlang	ok	5	1	2	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/FosterG4__tree-sitter-mcpsaver	ok	362	1	6	0	0	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Freakboy__sd	ok	1	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/GDQuest__GDScript-formatter	ok	3	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/GhentCDH__tree-sitter-wikitext	ok	7	1	2	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/GlitterKill__sdl-mcp	ok	57	1	0	0	0	1	2
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Graphify-Labs__graphify	ok	9	0	0	0	0	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/GrayJack__tree-sitter-janet	ok	8	1	4	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/GumTreeDiff__tree-sitter-parser	ok	2	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/HelgeSverre__tree-sitter-applescript	ok	9	1	3	0	0	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/HeytalePazguato__tree-sitter-iec61131-3-st	ok	18	1	6	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/HiPhish__nvim-ts-rainbow2	ok	51	0	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/HiPhish__rainbow-delimiters.nvim	ok	96	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Himujjal__tree-sitter-svelte	ok	12	1	6	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Hubro__tree-sitter-robot	ok	11	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/IBM__tree-sitter-codeviews	ok	1	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/INS-JVidal__code-primer	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/IVRZ-da__agentiker-code-intel	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Idorobots__tree-sitter-org	ok	5	1	2	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Isopod__tree-sitter-pascal	ok	10	1	4	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/JJK96__tree-sitter-vbscript	ok	7	1	2	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Jakedismo__codegraph-rust	ok	39	0	0	0	0	2	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Jakobeha__type-sitter	ok	14	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/JavierPrior845__clean-ast-linter	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Joakker__tree-sitter-json5	ok	8	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/JonatasFischer__stropha	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/JoosepAlviste__nvim-ts-context-commentstring	ok	1	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/JoranHonig__python-tree-sitter-types	ok	1	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/JoranHonig__tree-sitter-solidity	ok	13	1	5	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Julian__lean.nvim	ok	3	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Julian__tree-sitter-lean	ok	12	1	5	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Knaackee__code-explorer	ok	1	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Kroisse__tree-sitter-tribute	ok	8	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Labpics-Team__Laborant	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/LdBeth__tree-sitter-rnc	ok	6	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/LegacyCodeHQ__clarity-cli	ok	5	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/LhKipp__tree-sitter-nu	ok	9	1	5	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/LumaKernel__tree-sitter-prisma	ok	7	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/ManahilShahid45__CodebaseAI	ok	1	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Manikanta-Reddy-Pasala__AiForgeMemory	ok	15	0	0	0	0	2	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Menci__monaco-tree-sitter	ok	3	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/MikeRecognex__mcp-codebase-index	ok	2	0	0	0	0	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/MrDawell__atrium	ok	6	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Muvon__octocode	ok	3	0	0	0	0	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Neverdecel__CodeRAG	ok	3	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Nishant-Chaudhary5338__mcp-code-indexer	ok	12	0	0	0	0	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Nymphium__graft	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/OXY2DEV__tree-sitter-comment	ok	10	1	4	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/OXY2DEV__tree-sitter-kitty	ok	10	1	4	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/OXY2DEV__tree-sitter-lua_patterns	ok	9	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/OXY2DEV__tree-sitter-qf	ok	10	1	4	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/OpenHands__OpenHands	ok	31	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/OpenJelly__tree-sitter-jelly	ok	7	1	4	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/OpenModelica__tree-sitter-metamodelica	ok	6	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/OpenModelica__tree-sitter-modelica	ok	9	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/OshanKHZ__bee2bee-indexer	ok	4	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/PRQL__tree-sitter-prql	ok	7	1	4	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/PRRPCHT__tree-sitter-astro-next	ok	5	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/PedroZappa__tree-sitter-strdl	ok	9	1	4	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/PranavNagothu__FlakeShield	ok	4	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/PrestonKnopp__tree-sitter-gdscript	ok	9	1	2	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/PrestonKnopp__tree-sitter-godot-resource	ok	8	1	2	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Prudhviraj101__codebase-assistant	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/RRethy__nvim-treesitter-endwise	ok	10	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/RRethy__nvim-treesitter-textsubjects	ok	58	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/RageLtd__cartographer	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/RahulModugula__odin	ok	7	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Regsorm__code-index-mcp	ok	8	0	0	0	0	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/ReyNeill__Kontxt	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/RooCodeInc__Roo-Code	ok	38	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/SShadowS__tree-sitter-al	ok	15	1	5	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/SaumyaJoshi2005__AlgoSnap	ok	2	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/ShiftLeftSecurity__codepropertygraph	ok	3	0	0	0	0	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Shivam-vachhani__Codebase-QA-RAG-System	ok	1	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/SonarSource__sonarqube	ok	4	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Soulthym__tree-sitter-astr	ok	0	1	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/SrGaabriel__tree-sitter-soma	ok	11	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Stoica-Mihai__recast	ok	8	0	0	0	0	1	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Swastik-Gupta30__DevContext	ok	1	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/TabbyML__tabby	ok	62	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/The-PR-Agent__pr-agent	ok	4	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/TheYoxy__tree-sitter-coda	ok	9	1	3	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Tomatio13__repo-map-skill	ok	61	1	1	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/TrySita__AutoDocs	ok	19	0	0	0	0	0	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/UserNobody14__tree-sitter-dart	ok	12	1	4	0	0	0	0
